L3364: 3860	svchost.exe	0x7fffe7d60000	True	True	True	\Windows\System32\rpcrt4.dll
L3365: 3860	svchost.exe	0x7fffe8190000	True	True	True	\Windows\System32\SHCore.dll
L3366: 3860	svchost.exe	0x7fffe8120000	True	True	True	\Windows\System32\shlwapi.dll
L3367: 3860	svchost.exe	0x7fffe8570000	True	True	True	\Windows\System32\kernel32.dll
L3368: 3860	svchost.exe	0x7fffe83d0000	True	True	True	\Windows\System32\oleaut32.dll
L3369: 3860	svchost.exe	0x7fffe84b0000	True	True	True	\Windows\System32\clbcatq.dll
L3370: 3860	svchost.exe	0x7fffe89e0000	True	True	True	\Windows\System32\combase.dll
L3371: 3860	svchost.exe	0x7fffe8920000	True	True	True	\Windows\System32\msvcrt.dll
L3372: 3860	svchost.exe	0x7fffe8ed0000	True	True	True	\Windows\System32\ole32.dll
L3373: 3860	svchost.exe	0x7fffe8d70000	True	True	True	\Windows\System32\msctf.dll
L3374: 3860	svchost.exe	0x7fffe9120000	True	True	True	\Windows\System32\ntdll.dll

--- malware_ldrmodules.txt ---
L3284: 3860	svchost.exe	0x7fffd7500000	True	True	True	\Windows\System32\iertutil.dll
L3285: 3860	svchost.exe	0x1caa0b50000	False	False	False	\Windows\System32\en-US\svchost.exe.mui
L3286: 3860	svchost.exe	0x1caa0f90000	False	False	False	\Windows\System32\msxml6r.dll
L3287: 3860	svchost.exe	0x1caa0fa0000	False	False	False	\Windows\System32\en-US\QuietHours.dll.mui
L3288: 3860	svchost.exe	0x7fffcc2b0000	True	True	True	\Windows\System32\TileDataRepository.dll
L3289: 3860	svchost.exe	0x1caa3410000	False	False	False	\Windows\System32\en-US\KernelBase.dll.mui
L3290: 3860	svchost.exe	0x7fffc7350000	True	True	True	\Windows\System32\CapabilityAccessManagerClient.dll
L3291: 3860	svchost.exe	0x7fffac740000	True	True	True	\Windows\System32\wpnclient.dll
L3292: 3860	svchost.exe	0x7ff7c49d0000	True	False	True	\Windows\System32\svchost.exe
L3293: 3860	svchost.exe	0x7fff9bd70000	True	True	True	\Windows\System32\ContentDeliveryManager.Utilities.dll
L3294: 3860	svchost.exe	0x7fffc3a50000	True	True	True	\Windows\System32\ShellCommonCommonProxyStub.dll
L3295: 3860	svchost.exe	0x7fffc7270000	True	True	True	\Windows\System32\twinapi.dll
L3296: 3860	svchost.exe	0x7fffca5b0000	True	True	True	\Windows\System32\Windows.CloudStore.Schema.Shell.dll
L3297: 3860	svchost.exe	0x7fffc8f30000	True	True	True	\Windows\System32\NotificationControllerPS.dll
L3298: 3860	svchost.exe	0x7fffcb510000	True	True	True	\Windows\System32\wpnapps.dll
L3299: 3860	svchost.exe	0x7fffca6b0000	True	True	True	\Windows\System32\AppExtension.dll
L3300: 3860	svchost.exe	0x7fffcbed0000	True	True	True	\Windows\System32\AppResolver.dll
L3301: 3860	svchost.exe	0x7fffce3f0000	True	True	True	\Windows\System32\Windows.CloudStore.dll
L3302: 3860	svchost.exe	0x7fffcd2c0000	True	True	True	\Windows\System32\NotificationController.dll
L3303: 3860	svchost.exe	0x7fffcce80000	True	True	True	\Windows\System32\QuietHours.dll
L3304: 3860	svchost.exe	0x7fffcc840000	True	True	True	\Windows\System32\execmodelproxy.dll
L3305: 3860	svchost.exe	0x7fffcc600000	True	True	True	\Windows\System32\capauthz.dll
L3306: 3860	svchost.exe	0x7fffccf20000	True	True	True	\Windows\System32\ExecModelClient.dll
L3307: 3860	svchost.exe	0x7fffcd440000	True	True	True	\Windows\System32\WpnUserService.dll
L3308: 3860	svchost.exe	0x7fffcd620000	True	True	True	\Windows\System32\cdp.dll
L3309: 3860	svchost.exe	0x7fffd2200000	True	True	True	\Windows\System32\Windows.Networking.Connectivity.dll
L3310: 3860	svchost.exe	0x7fffcf6b0000	True	True	True	\Windows\System32\threadpoolwinrt.dll
L3311: 3860	svchost.exe	0x7fffce9b0000	True	True	True	\Windows\System32\IDStore.dll
L3312: 3860	svchost.exe	0x7fffd42e0000	True	True	True	\Windows\System32\wlidprov.dll
L3313: 3860	svchost.exe	0x7fffd31e0000	True	True	True	\Windows\System32\msxml6.dll
L3314: 3860	svchost.exe	0x7fffd74a0000	True	True	True	\Windows\System32\srvcli.dll
L3315: 3860	svchost.exe	0x7fffe4790000	True	True	True	\Windows\System32\kernel.appcore.dll
L3316: 3860	svchost.exe	0x7fffe0bd0000	True	True	True	\Windows\System32\usermgrcli.dll
L3317: 3860	svchost.exe	0x7fffda3a0000	True	True	True	\Windows\System32\Windows.StateRepositoryClient.dll
L3318: 3860	svchost.exe	0x7fffd9400000	True	True	True	\Windows\System32\winsqlite3.dll
L3319: 3860	svchost.exe	0x7fffd8470000	True	True	True	\Windows\System32\wpncore.dll
L3320: 3860	svchost.exe	0x7fffd77d0000	True	True	True	\Windows\System32\urlmon.dll
L3321: 3860	svchost.exe	0x7fffd91b0000	True	True	True	\Windows\System32\OneCoreCommonProxyStub.dll
L3322: 3860	svchost.exe	0x7fffda0a0000	True	True	True	\Windows\System32\Windows.StateRepositoryPS.dll
L3323: 3860	svchost.exe	0x7fffdc0c0000	True	True	True	\Windows\System32\Windows.StateRepository.dll
L3324: 3860	svchost.exe	0x7fffdbf20000	True	True	True	\Windows\System32\BCP47Langs.dll
L3325: 3860	svchost.exe	0x7fffdbf00000	True	True	True	\Windows\System32\Windows.StateRepositoryCore.dll
L3326: 3860	svchost.exe	0x7fffdbf90000	True	True	True	\Windows\System32\StateRepository.Core.dll
L3327: 3860	svchost.exe	0x7fffde870000	True	True	True	\Windows\System32\UserMgrProxy.dll
L3328: 3860	svchost.exe	0x7fffdde20000	True	True	True	\Windows\System32\OneCoreUAPCommonProxyStub.dll
L3329: 3860	svchost.exe	0x7fffddd40000	True	True	True	\Windows\System32\npmproxy.dll
L3330: 3860	svchost.exe	0x7fffde480000	True	True	True	\Windows\System32\twinapi.appcore.dll
L3331: 3860	svchost.exe	0x7fffe03a0000	True	True	True	\Windows\System32\xmllite.dll
L3332: 3860	svchost.exe	0x7fffdf900000	True	True	True	\Windows\System32\winhttp.dll
L3333: 3860	svchost.exe	0x7fffe3320000	True	True	True	\Windows\System32\wtsapi32.dll
L3334: 3860	svchost.exe	0x7fffe1550000	True	True	True	\Windows\System32\policymanager.dll
L3335: 3860	svchost.exe	0x7fffe1040000	True	True	True	\Windows\System32\propsys.dll
L3336: 3860	svchost.exe	0x7fffe39d0000	True	True	True	\Windows\System32\rmclient.dll
L3337: 3860	svchost.exe	0x7fffe34c0000	True	True	True	\Windows\System32\uxtheme.dll
L3338: 3860	svchost.exe	0x7fffe40b0000	True	True	True	\Windows\System32\netutils.dll
L3339: 3860	svchost.exe	0x7fffe4080000	True	True	True	\Windows\System32\samlib.dll
L3340: 3860	svchost.exe	0x7fffe68c0000	True	True	True	\Windows\System32\KernelBase.dll
L3341: 3860	svchost.exe	0x7fffe5b40000	True	True	True	\Windows\System32\win32u.dll
L3342: 3860	svchost.exe	0x7fffe5880000	True	True	True	\Windows\System32\powrprof.dll
L3343: 3860	svchost.exe	0x7fffe4db0000	True	True	True	\Windows\System32\userenv.dll
L3344: 3860	svchost.exe	0x7fffe4a30000	True	True	True	\Windows\System32\sspicli.dll
L3345: 3860	svchost.exe	0x7fffe48b0000	True	True	True	\Windows\System32\ntmarta.dll
L3346: 3860	svchost.exe	0x7fffe57b0000	True	True	True	\Windows\System32\winsta.dll
L3347: 3860	svchost.exe	0x7fffe5000000	True	True	True	\Windows\System32\cryptbase.dll
L3348: 3860	svchost.exe	0x7fffe5860000	True	True	True	\Windows\System32\umpdc.dll
L3349: 3860	svchost.exe	0x7fffe5920000	True	True	True	\Windows\System32\profapi.dll
L3350: 3860	svchost.exe	0x7fffe58f0000	True	True	True	\Windows\System32\bcrypt.dll
L3351: 3860	svchost.exe	0x7fffe5a00000	True	True	True	\Windows\System32\bcryptprimitives.dll
L3352: 3860	svchost.exe	0x7fffe5f20000	True	True	True	\Windows\System32\windows.storage.dll
L3353: 3860	svchost.exe	0x7fffe5cf0000	True	True	True	\Windows\System32\WinTypes.dll
L3354: 3860	svchost.exe	0x7fffe5b70000	True	True	True	\Windows\System32\crypt32.dll
L3355: 3860	svchost.exe	0x7fffe6790000	True	True	True	\Windows\System32\gdi32full.dll
L3356: 3860	svchost.exe	0x7fffe8310000	True	True	True	\Windows\System32\advapi32.dll
L3357: 3860	svchost.exe	0x7fffe7d30000	True	True	True	\Windows\System32\gdi32.dll
L3358: 3860	svchost.exe	0x7fffe6e10000	True	True	True	\Windows\System32\msvcp_win.dll
L3359: 3860	svchost.exe	0x7fffe6cc0000	True	True	True	\Windows\System32\ucrtbase.dll
L3360: 3860	svchost.exe	0x7fffe6f10000	True	True	True	\Windows\System32\shell32.dll
L3361: 3860	svchost.exe	0x7fffe6ec0000	True	True	True	\Windows\System32\imm32.dll
L3362: 3860	svchost.exe	0x7fffe77f0000	True	True	True	\Windows\System32\sechost.dll
L3363: 3860	svchost.exe	0x7fffe7e80000	True	True	True	\Windows\System32\user32.dll
L3364: 3860	svchost.exe	0x7fffe7d60000	True	True	True	\Windows\System32\rpcrt4.dll
L3365: 3860	svchost.exe	0x7fffe8190000	True	True	True	\Windows\System32\SHCore.dll
L3366: 3860	svchost.exe	0x7fffe8120000	True	True	True	\Windows\System32\shlwapi.dll
L3367: 3860	svchost.exe	0x7fffe8570000	True	True	True	\Windows\System32\kernel32.dll
L3368: 3860	svchost.exe	0x7fffe83d0000	True	True	True	\Windows\System32\oleaut32.dll
L3369: 3860	svchost.exe	0x7fffe84b0000	True	True	True	\Windows\System32\clbcatq.dll
L3370: 3860	svchost.exe	0x7fffe89e0000	True	True	True	\Windows\System32\combase.dll
L3371: 3860	svchost.exe	0x7fffe8920000	True	True	True	\Windows\System32\msvcrt.dll
L3372: 3860	svchost.exe	0x7fffe8ed0000	True	True	True	\Windows\System32\ole32.dll
L3373: 3860	svchost.exe	0x7fffe8d70000	True	True	True	\Windows\System32\msctf.dll
L3374: 3860	svchost.exe	0x7fffe9120000	True	True	True	\Windows\System32\ntdll.dll

--- malware_pebmasquerade.txt ---
L79: 3860	svchost.exe	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe	False	False

--- sessions.txt ---
L122: 1	-	3860	svchost.exe	CLEANWINDOWS11/kali	2026-05-12 18:23:31.000000 UTC

=== END OF PIVOT REPORT ===
